species_name,phylo_clade,phylo_sub_clade,date,papillate,proliferation,sporangiophore,caduceus,pedicel_length,chlamydospores,hyphal_swelling,,oospores,ho_he_s,oogonia_wall,tapering_base,amphi_para,aplerotic_plerotic,oospore_wall_thickness,oospore_wall_index,oospore_wall_cat,,gr_at_opt,gr_at_opt_cat,temp_min,temp_opt,temp_max,temp_profile,temp_range,temp_range_cat
Phytophthora 'raspberry',6,6b,NA,NP,P,UN,NC,NA,NCH,HS,,O,HO,S,TB,P,A,#N/A,#N/A,#N/A,,7,M,8,28,35,H,27,M
Phytophthora 'walnut',6,6a,NA,NP,P,UN,NC,NA,NCH,NHS,,NO,S,NA,NA,NA,NA,NA,NA,NA,,14,F,5,32,39,H,34,W
Phytophthora amnicola,6,6b,2012,NP,P,UN,NC,NA,NCH,HS,,NO,S,NA,NA,NA,NA,NA,NA,NA,,6.5,M,7.5,27.5,38,H,30.5,W
Phytophthora asparagi,6,6c,2012,NP,P,UN,NC,NA,NCH,NHS,,O,HO,S,NTB,A,A,2.8,0.49,M,,11,F,5,25,30,M,25,M
Phytophthora balyanboodja,6,6a,2018,NP,P,UN,NC,NA,NCH,NHS,,NO,S,NA,NA,NA,NA,NA,NA,NA,,14,F,7.5,32.5,40,H,32.5,W
Phytophthora bilorbang,6,6b,2012,NP,P,UN,NC,NA,NCH,HS,,O,HO,S,NTB,P,SA,3,0.42,M,,4,S,5,25,32.5,M,27.5,W
Phytophthora borealis,6,6b,2012,NP,P,UN,NC,NA,NCH,NHS,,O,HE,S,NTB,A,A,2,0.37,M,,3.1,S,2,17,30,L,28,W
Phytophthora chlamydospora,6,6b,2015,NP,P,UN,NC,NA,CH,HS,,NO,S,NA,NA,NA,NA,NA,NA,NA,,4.5,S,5,27,37,M,32,W
Phytophthora condilina,6,6a,2018,NP,P,UN,NC,NA,CH,HS,,O,HO,S,TB,P,A,3.3,0.44,M,,10,F,5,25,35,M,30,W
Phytophthora cooljarloo,6,6a,2018,NP,P,UN,NC,NA,NCH,HS,,O,HO,W,TB,P,A,2.8,0.4,M,,11,F,5,25,35,M,30,W
Phytophthora crassamura,6,6b,2015,NP,P,UN,NC,NA,NCH,HS,,O,HO,S,NTB,P,A,4.8,0.57,H,,7.1,M,5,25,34,M,29,W
Phytophthora fluvialis,6,6b,2011,NP,P,UN,NC,NA,NCH,HS,,NO,S,NA,NA,NA,NA,NA,NA,NA,,6,M,10,32,38,H,28,W
Phytophthora gemini,6,6a,2011,NP,P,UN,NC,NA,NCH,HS,,NO,S,NA,NA,NA,NA,NA,NA,NA,,14,F,4,28,35,H,31,W
Phytophthora gibbosa,6,6b,2011,NP,P,UN,NC,NA,NCH,HS,,O,HO,W,NTB,A,A,3.17,0.49,M,,6.3,M,7.5,30,34,H,26.5,M
Phytophthora gonapodyides,6,6b,1927,NP,P,UN,NC,NA,NCH,HS,,O,HE,O,NTB,A,B,1.1,0.28,L,,3.5,S,3,25,34,M,31,W
Phytophthora gregata,6,6b,2011,NP,P,UN,NC,NA,NCH,HS,,O,HO,S,TB,B,A,2.65,0.42,M,,6.5,M,7.5,25,34,M,26.5,M
Phytophthora humicola,6,6a,1985,NP,P,UN,NC,NA,CH,HS,,O,HO,S,NTB,P,A,4,0.57,H,,11,F,5,25,35,M,30,W
Phytophthora inundata,6,6a,2003,NP,P,UN,NC,NA,CH,HS,,O,HE/HO,S,NTB,A,A,5.4,0.64,H,,12.5,F,4,25,38,M,34,W
Phytophthora kwongonina,6,6a,2018,NP,P,UN,NC,NA,NCH,HS,,O,HO,W,NTB,P,A,4.9,0.6,H,,13.5,F,5,29,35,H,30,W
Phytophthora lacustris,6,6b,2013,NP,P,UN,NC,NA,NCH,NHS,,NO,S,NA,NA,NA,NA,NA,NA,NA,,3.4,S,2,28,36,H,34,W
Phytophthora litoralis,6,6b,2011,NP,P,UN,NC,NA,CH,HS,,NO,S,NA,NA,NA,NA,NA,NA,NA,,4.5,S,10,30,34,H,24,M
Phytophthora megasperma,6,6b,1931,NP,P,SS,NC,NA,NCH,HS,,O,HO,S,NTB,P,B,3.31,0.41,M,,6,M,4,25,31,M,27,M
Phytophthora mississippiae,6,6b,2013,NP,P,UN,NC,NA,NCH,HS,,O,HE,O,TB,A,P,4,0.55,H,,4,S,5,25,38,M,33,W
Phytophthora moyootj,6,6b,2014,NP,P,UN,NC,NA,NCH,NHS,,NO,S,NA,NA,NA,NA,NA,NA,NA,,3,S,10,27.5,32.5,H,22.5,M
Phytophthora ornamentata,6,6b,2015,NP,P,UN,NC,NA,NCH,HS,,O,HO,O,NTB,B,B,4.3,0.63,H,,6,M,5,25,32,M,27,M
Phytophthora pinifolia,6,6b,2008,NP,NP,SS,C,M,NCH,HS,,NO,S,NA,NA,NA,NA,NA,NA,NA,,1.2,S,10,25,30,M,20,N
Phytophthora pseudorosacearum,6,6a,2018,NP,P,UN,NC,NA,CH,HS,,O,HO,W,TB,P,A,2.4,0.41,M,,12,F,5,30,39,H,34,W
Phytophthora riparia,6,6b,2012,NP,P,UN,NC,NA,NCH,NHS,,NO,S,NA,NA,NA,NA,NA,NA,NA,,2.5,S,4,30,35,H,31,W
Phytophthora rosacearum,6,6a,2009,NP,P,UN,NC,NA,NCH,HS,,O,HO,S,NTB,P,SA,1.8,0.33,M,,12,F,5,30,39,H,34,W
Phytophthora thermophila,6,6b,2011,NP,P,UN,NC,NA,CH,HS,,O,HO,S,NTB,P,A,2.3,0.46,M,,5,M,10,32.5,37,H,27,M
Phytophthora x stagnum,6,6b,2014,P,P,UN,NC,NA,CH,HS,,O,HE,O,NTB,A,P,2.8,0.49,M,,4,S,5,25,35,M,30,W
Phytophthora asiatica,7,7b,2014,NP,P,SS,NC,NA,NCH,HS,,O,HO,S,NTB,A,A,2.8,0.43,M,,5,M,7.5,28,35,H,27.5,W
Phytophthora attenuata,7,7a,2017,NP,P,UN,NC,NA,NCH,NHS,,O,HO,O,TB,A,A,2.9,0.41,M,,4.2,S,5,25,30,M,25,M
Phytophthora cajani,7,7b,1978,NP,P,UN,NC,NA,NCH,HS,,O,HO,S,NTB,A,A,1.23,0.21,L,,#N/A,#N/A,9,28,36,H,27,M
Phytophthora cambivora,7,7a,1927,NP,P,UN,NC,NA,NCH,HS,,O,HE,O,TB,A,P,3,0.4,M,,7,M,4,23,32,M,28,W
Phytophthora cinnamomi,7,7c,1922,NP,P,UN,NC,NA,CH,HS,,O,HE,S,NTB,A,P,1.8,0.34,M,,7,M,6,28,33,H,27,M
Phytophthora europaea,7,7a,2002,NP,P,UN,NC,NA,NCH,NHS,,O,HO,S,NTB,P,A,1.76,0.38,M,,4.8,S,3,25,32,M,29,W
Phytophthora flexuosa,7,7a,2017,NP,P,UN,NC,NA,NCH,HS,,O,HO,O,TB,P,P,3.1,0.47,M,,4.7,S,5,25,32.5,M,27.5,W
Phytophthora formosa,7,7a,2017,NP,P,UN,NC,NA,NCH,NHS,,O,HO,O,TB,P,P,3,0.43,M,,5,M,5,25,32.5,M,27.5,W
Phytophthora fragariae,7,7a,1940,NP,P,UN,NC,NA,NCH,HS,,O,HO,S,TB,B,B,2.14,0.38,M,,1.9,S,4,20,28,L,24,M
