species_name,phylo_clade,phylo_sub_clade,date,papillate,proliferation,sporangiophore,caduceus,pedicel_length,chlamydospores,hyphal_swelling,,oospores,ho_he_s,oogonia_wall,tapering_base,amphi_para,aplerotic_plerotic,oospore_wall_thickness,oospore_wall_index,oospore_wall_cat,,gr_at_opt,gr_at_opt_cat,temp_min,temp_opt,temp_max,temp_profile,temp_range,temp_range_cat
Phytophthora irrigata,9,9a,2008,NP,P,UN,NC,NA,NCH,NHS,,O,HE,S,NTB,A,P,2.9,0.36,M,,12,F,7.5,30,35,H,27.5,W
Phytophthora macilentosa,9,9a,2014,NP,P,UN,NC,NA,NCH,HS,,O,HE,S,NTB,A,A,1.2,0.25,L,,5,M,7,30,38,H,31,W
Phytophthora macrochlamydospora,9,9c,1991,SP,P,UN,NC,NA,CH,HS,,NO,S,NA,NA,NA,NA,NA,NA,NA,,#N/A,#N/A,6,27,36,M,30,W
Phytophthora parsiana,9,9a,2008,NP,P,UN,NC,NA,CH,HS,,O,HE,S,NTB,A,A,3.3,0.6,H,,8,M,10,30,37,H,27,M
Phytophthora polonica,9,9b,2006,NP,P,UN,NC,NA,CH,HS,,O,HO,S,NTB,B,B,2.9,0.36,M,,7,M,5,30,38,H,33,W
Phytophthora pseudopolonica,9,9b,2017,NP,P,UN,NC,NA,CH,HS,,O,HO,S,NTB,P,B,1.2,0.3,M,,10,F,5,30,35,H,30,W
Phytophthora quininea,9,9c,1947,NP,NP,SS,NC,NA,NCH,HS,,O,HO,S,NA,P,A,#N/A,#N/A,#N/A,,#N/A,#N/A,15,25,32,M,17,N
Phytophthora rhizophorae,9,9a,2016,NP,P,UN,NC,NA,NCH,HS,,NO,S,NA,NA,NA,NA,NA,NA,NA,,14,F,5,30,35,H,30,W
Phytophthora richardiae,9,9c,1927,NP,P,UN,NC,NA,NCH,HS,,O,HO,S,NTB,B,P,5,0.7,H,,#N/A,#N/A,10,24,31,M,21,M
Phytophthora virginiana,9,9a,2013,NP,P,UN,NC,NA,CH,HS,,NO,S,NA,NA,NA,NA,NA,NA,NA,,7.5,M,10,30,40,H,30,W
Phytophthora boehmeriae,10,10,1927,P,NP,UN,C,S,CH,NHS,,O,HO,S,NTB,A,P,1.67,0.35,M,,#N/A,#N/A,6,25,32.5,M,26.5,M
Phytophthora gallica,10,10,2008,NP,NP,UN,NC,NA,CH,HS,,NO,S,NA,NA,NA,NA,NA,NA,NA,,2.1,S,4,21,30,L,26,M
Phytophthora gondwanensis,10,10,2015,P,NP,SS,NC,NA,NCH,HS,,O,HO,S,NTB,A,P,2.7,0.47,M,,5.5,M,5,27.5,35,H,30,W
Phytophthora intercalaris,10,10,2016,NP,P,UN,NC,NA,CH,HS,,O,HE,O,NTB,A,P,2,0.3,M,,3,S,6,27,32.5,M,26.5,M
Phytophthora kernoviae,10,10,2005,P,NP,SS,C,M,NCH,NHS,,O,HO,S,TB,B,P,3.5,0.68,H,,4,S,4,18,26,L,22,M
Phytophthora morindae,10,10,2010,P,NP,U,C,M,NCH,NHS,,O,HO,S,TB,B,B,3.2,0.51,H,,2.9,S,10,20,27,L,17,N
Phytophthora 'ohioensis',11,11,2017,P,NP,SS,NC,NA,NCH,NHS,,O,HO,S,NTB,P,A,2.65,0.44,M,,2.6,S,5,21,27,L,22,M
Phytophthora castanetorum,11,,2017,P,NP,UN,NC,NA,CH,HS,,O,HO,S,TB,P,B,3.1,0.51,H,,3.6,S,5,20,30,L,25,M
Phytophthora quercina,11,11,1999,P,NP,SS,NC,NA,CH,HS,,O,HO,S,TB,P,SA,2.7,0.49,M,,4.3,S,5,22,27,L,22,M
Phytophthora tubulina,11,,2017,P,NP,UN,NC,NA,NCH,HS,,O,HO,S,TB,P,B,2,0.38,M,,2.8,S,5,20,30,L,25,M
Phytophthora versiformis,11,11,2017,P,NP,SS,NC,NA,NCH,HS,,O,HO,S,NTB,P,P,2.57,0.46,M,,2.2,S,4,20,27,L,23,M
Phytophthora lilii,X,X,2015,NP,P,SS,NC,NA,CH,HS,,O,HO,S,TB,P,A,2.9,0.5,H,,2.6,S,5,25,35,M,30,W
Phytophthora stricta,X,X,2014,NP,P,UN,C,L,CH,NHS,,O,HE,S,NTB,A,P,1.5,0.32,M,,8,M,7,27.5,33,H,26,M
